序号,模版类型,模版名称,模版语句
,,保管协议书,
2,,保管协议书,"合同标的：“本合同所涉及的标的是存货，包括但不限于贵重物品、货币、有价证券等，保管物的范围涵盖原物及其孳息，且应符合相关包装和货物保管要求。”

合同主体：“本合同的主体为存货人和保管人，双方作为合同当事人，应遵守合同约定，并依据法律履行各自的义务。”

合同价款与支付：“保管人应就保管服务收取保管费，具体费用金额及支付方式由双方协商确定。存货人应按约定通过银行账户支付价款，费用支付应在合同期限期满或按约定时间完成，保管人享有留置权以保障其合法权益。”

合同交易条款：“保管物的交付、入库、存储和出库需按照约定的场所、方法和条件进行，并制定明确的操作计划及期限。存货人应配合保管人完成验收、交接及运输相关事宜，存货提货需符合合同约定的责任及其他条件。” "
5,,北京市保管合同,"合同标的：“本合同所涉标的为寄存人交付于保管人的保管物，包括但不限于货币、有价证券及贵重物品等。保管物应存放于约定的保管场所，特殊保管需求需提前明确，并由双方协商制定保管方法。保管期限由双方约定，并以保管凭证为凭据。保管物交付时需进行验收，以确认物品状态。”

合同主体：“本合同主体为保管人和寄存人。保管人负责按照合同约定妥善保管寄存人的物品，寄存人则应按时支付保管费及履行其他相关义务。”

合同价款与支付：“寄存人需向保管人支付保管费，支付方式和支付时间由双方协商确定。如寄存人未按时支付保管费，保管人有权留置保管物，直至费用结清为止。”

合同交易条款：“保管人应采用约定的保管方法妥善保管寄存物品，必要时采取特殊措施。未经寄存人同意，保管人不得转交保管物给他人或许可第三人使用保管物。保管人在保管期间不得擅自使用保管物，除非双方另有约定。保管期满后，保管人应将保管物及其孳息归还寄存人。交付保管物时需再次验收，确保无误。本合同的成立以双方签署为准，违约方需承担相应的违约责任。争议解决方式为双方协商，协商不成时可选择仲裁或向人民法院提起诉讼。其他约定事项由双方另行补充，并以书面形式确认。”"
8,,河北省保管合同,"合同标的：“本合同的标的包括寄存人交付给保管人的保管物，可能为货币、有价证券、贵重物品等。在保管期间，保管人应对保管物进行验收并开具保管凭证，妥善保管且采取必要特殊措施。若保管物产生孳息，处理方式按双方协议执行。对于保管物存在的瑕疵或因毁损、灭失、毁灭等问题，保管人应承担赔偿责任，除非另有约定。”

合同主体：“本合同的主体为保管人和寄存人。寄存人需提供身份证号码、住所等个人信息，而保管人需提供营业执照及社会信用代码等信息。如为单位主体，需明确法定代表人身份。”

合同价款与支付：“保管人有权向寄存人收取保管费，费用金额需以大写标明，具体支付时间及支付方式由双方约定。若寄存人未按约定支付保管费，保管人可依法行使留置权，直至费用结清。”

合同交易条款：“保管物需在双方确认的保管场所进行保管，保管期限以合同约定为准。寄存人需将保管物交付保管人并办理移交手续，保管人需签署确认并验收。保管期间，保管人需按照约定的保管方法妥善保管，不得擅自将保管物移交他人。保管期满后，保管人应及时归还保管物，若需延长保管期限或出现特殊条件，应经双方协商一致并签署补充协议。”"
12,,财产保险合同,"合同标的：“本合同的标的包括财产保险范围内的建筑物、生产设备、运输工具及运输货物等物质财富。保险财产的所有人、经营人及其他利益关系人均可作为保险对象。”  

合同主体：“本合同的主体由保险公司作为保险方，与投保方及被保险人共同构成，明确各方的权利和义务。”  

合同价款与支付：“保险金额与补偿金额将根据合同约定的计算比例确定。投保方需按期交纳保险费，并在保险期限内履行支付义务。若发生欠交利息的情况，应在约定期限内补齐。保险合同可根据双方意愿续订，保险责任自标的运达指定地点时生效。”  

合同交易条款：“保险责任包括因损失发生的合理费用及救护费用，但除外责任条款中明确的情形不在赔偿范围内。投保方需履行通知义务，特别是在标的用途变更或危险程度增加时。保险方需对损失清单进行核查，并在赔偿时限内支付赔偿金额。双方需共同关注安全检查和安全隐患，避免损失扩大。发生损失时，投保方应采取施救保护措施，并提供赔偿清单。对于合同解除或追偿权的行使，应根据具体情况协商解决。”  "
15,,非营业汽车保险合同,"合同标的：“本合同标的是非营业用汽车的保险服务，涵盖保险车辆的汽车损失及其附加险的保险责任。保险金额根据保险车辆实际价值、新车购置价等因素确定，保障范围为自用汽车相关风险。”  

合同主体：“本合同的主体包括投保人、保险人以及被保险人，同时相关驾驶人员也与合同履行直接相关。投保人可为党政机关、企事业单位、社会团体以及使领馆等机构。”  

合同价款与支付：“合同涉及的保险金额由双方约定，投保人需按照支付方式缴纳保险费。赔偿金额根据事故损失计算，可能扣除修理费用、折旧金额及免赔率后支付。应交保险费用明确列出，保险人承担的赔偿金额需符合合同约定。”  

合同交易条款：“保险责任范围包括事故发生后的施救费用、修理项目等，但责任免除条款明确了不予赔偿的情形。赔偿责任依据索赔材料、事故报案、损失清单及事故证明核定，赔偿方式和金额由双方签订赔偿协议。责任比例、优待比例以及免赔金额均根据合同条款约定执行，修理厂的选择需与保险人协商确定。”  "
18,,机动车保险合同,"合同标的：“本合同的标的包括车辆损失险和第三者责任险，涉及的保险车辆因车辆损失、全车失窃等情况产生的保险责任。保险金额根据车辆的损失或全车失窃等情况确定。”  

合同主体：“本合同的主体包括保险公司、被保险人以及驾驶人员，同时涉及因保险事故而产生的第三者。”  

合同价款与支付：“被保险人需按照约定支付保险费，在发生保险事故后，保险公司根据合同约定的赔偿金额履行支付赔偿义务，包括赔款在内的相关金额。此外，合同还可约定续保条款。”  

合同交易条款：“本合同明确了保险事故的责任范围及保险公司承担的赔偿责任，包括车辆的部分损失、全部损失或修理费用等。赔偿金额可基于车辆的重置价值或实际价值，并扣除损失的残余部分。理赔程序要求提交索赔单证，同时可能涉及第三方追偿。合同中还包括无赔款优待条款以及对损失赔偿的具体约定。”  "
22,,北京市仓储合同,"合同标的：“本合同标的为仓储服务，涉及仓储物的储存及保管。仓储物将存放于指定的储存场所，具体仓库位置及储存面积由双方协商确定。保管人需采取合理的保管措施，确保仓储物不发生变质或损坏。如发生意外，保险金额及保险期限将依据合同约定予以保障。”  

合同主体：“本合同主体包括保管人、存货人、仓单持有人及保险人，各方根据合同约定承担相应的权利和义务。”  

合同价款与支付：“本合同约定的仓储费由存货人支付，具体结算方式和结算时间按照合同约定执行。如因特殊原因发生加收费用或提前提取仓储物的情况，应由双方协商处理。”  

合同交易条款：“合同交易条款包括入库检验与出库检验的具体要求及储存期限的明确约定。保管人应确保储存期间仓储物的安全，并按照合同约定的损耗标准进行管理。如涉及特殊保管需求，需提前书面通知保管人，并由双方协商确定。存货人需履行通知义务，及时提取仓储物，逾期提取将可能导致留置权的行使。若发生违约，违约责任依照合同约定处理。争议解决方式为提交仲裁委员会或向人民法院提起诉讼，其他约定事项由双方协商补充。”"
25,,仓储合同,"合同标的：“本合同所涉及的仓储物包括易燃、易爆、有毒、腐蚀性、放射性、危险物品以及易变质物品，需按照规定的储存方法存放于指定的储存地点，储存期限由双方协商确定。仓储物的入库与出库需经过严格的验收程序，并在运输过程中确保安全。”

合同主体：“合同主体包括存货人、仓单持有人、仓储方、仓储人员、保管方以及运输方，各方需按照合同约定履行相应职责，确保仓储物的安全管理和及时流转。”

合同价款与支付：“本合同涉及的费用包括装卸费、短途运输费、包干费、过磅费及仓储费，具体金额以结算清单为准。应结款项需在约定的支付期限内支付，逾期付款将按合同约定支付违约金。”

合同交易条款：“仓储方需对仓储物进行装卸、短途运输、过磅及保管，并确保验收合格。储存量不得超储，若因保管不当导致仓储物变质、损坏或泄露，仓储方需承担赔偿责任。同时，双方需对涉及的商业秘密严格保密，并对合理范围内的损耗进行协商处理。”"
28,,仓单串换协议,"合同标的：“本合同所涉及的标的为豆粕，由指定标准厂库以仓单形式交割，客户可进行串换操作。货物需支付货款后方可提货。”  

合同主体：“本合同的主体包括客户、交易所、交割厂库、工厂及指定交割仓库，各方按照合同要求履行相应的权利与义务。”  

合同价款与支付：“货物的单价依据现货价差及升贴水确定，合同总价根据实际重量计算。客户需支付合同约定的费用，并由卖方开具普通发票作为付款凭据。”  

合同交易条款：“货物的发货与提货需按照合同约定的日发货速度进行，交货地点为指定交割仓库。货物的重量和质量需经过检验，检验方式包括抽样、封存等流程，若有质量异议需在规定期限内提出。货物的包装标准和保管、出库、运输等要求需严格遵守合同条款，合同期限内各方需确保履约。”  "
32,,保证担保合同,"合同标的：“本合同涉及的标的是主合同中约定的债务，包括主债权、利息、违约金、损害赔偿金、实现债权费用（如诉讼费和律师费）等相关费用。”

合同主体：“本合同的主体包括保证人、债权人和债务人，保证人需对债务人履行债务提供担保，可能涉及连带责任或共同保证。若因机构变更或第三人介入，相关法律责任也将随之调整。”

合同价款与支付：“主债权的数额和金额需按照主合同约定支付，债务人需在规定期限内清偿债务。若债务清偿涉及多方，责任承担和债务比例应明确。债权人保留对相关方进行追偿的权利。”

合同交易条款：“本合同的交易条款包括保证范围和保证方式，可为一般保证或连带责任。保证人需在保证期间内履行相应责任，若债权或债务发生转让、主合同内容或履行期限变更，保证责任将根据主合同调整。为确保债务履行，债务人需提供财务报表接受监督，必要时可能需提前承担责任。”"
35,,财产抵押合同,"合同标的：“本合同涉及的标的是借款方提供的财产作为抵押物，其中包括固定资产、流动资产以及有价证券等，经评估后确认的现值将作为抵押的基础。抵押物的具体清单需详细列明，并附有相应的保险单进行保障。抵押期限以合同约定为准，具体期限与借款期限相一致。”  

合同主体：“本合同的主体包括贷款方和借款方，双方均需具备合法的法人资格，其中借款方由法人代表签署合同。同时，合同的签署需经过公证机关的公证，并由保险公司参与提供与抵押物相关的保险服务。”  

合同价款与支付：“贷款额度根据抵押物的现值进行核定，最终放款额度由贷款方决定。借款方需按照合同约定偿还贷款本息，并承担与抵押物相关的保险费用。贷款的支付及还款方式应在合同中详细列明，以确保资金的合理流转。”  

合同交易条款：“借款方提供的抵押物在合同期间不得未经同意擅自变卖、转移、租借或另行抵押，并需妥善保管和使用，防止损坏、损失或变质。如发生任何异常情况，借款方需及时通知贷款方。贷款方有权对抵押物进行监督、检查或核减，同时要求借款方续保、登记、公证、鉴定或采取合理的运输措施。如发生保险理赔或抵押物无法履约的情况，贷款方有权代偿相关损失。”"
38,,抵押借款合同,"合同标的：“本合同项下的标的是贷款，贷款金额将用于特定的贷款用途，并按照约定的贷款期限和贷款利率进行支付和偿还。贷款涉及的抵押物包括抵押物名称及其型号，贷款支取和偿还方式均需遵循合同约定。”  

合同主体：“本合同主体为贷款抵押人和贷款抵押权人，双方的权利和义务由合同明确规定。合同另载明法定代表人及信贷部门的相关信息，同时保险公司可能涉及抵押物的保险保障事项。”  

合同价款与支付：“贷款本息将按照贷款分期的约定进行偿还，贷款的提取和还款需遵守合同中的贷款利率条款。如发生逾期，将根据合同约定收取罚息。若出现保险赔偿金，则该赔偿金将用于优先偿还贷款。”  

合同交易条款：“本合同受贷款合同和抵押契据的约束，双方需接受贷款审查和贷款监督的管理。抵押期限内，抵押权受法律保护，抵押物需由抵押人妥善保管并进行必要的维修，严禁抵押物转让或贷款挪用。如抵押物涉及违约，贷款拍卖可能被启动。贷款用途需严格按照合同规定执行，贷款偿还条款亦需严格遵守。”  "
42,,北京市非居民供热采暖合同,"合同标的：“本合同约定供热采暖服务，以热量计量为基础，按照建筑面积和采暖地点进行供热。供热设施用于保障热量供应，具体热能供应方案根据采暖期和室内温度要求确定。热计量装置是确保热量计量准确的关键设备。”  

合同主体：“本合同的主体包括用热人、供热人、产权人、承租人、物业管理单位、供热单位及供热运行单位。同时，房屋所有权人、房屋租赁人以及热计量管理方也在合同中承担相应职责。”  

合同价款与支付：“采暖费由基本热费和计量热费两部分组成，具体热价标准和缴费标准由双方确认。缴费方式多样化，需在规定缴费期限内完成支付，逾期则需支付违约金。用热量及热计量费用是计算采暖费的重要依据。”  

合同交易条款：“采暖系统应满足合同约定的供热质量标准，供热设施的维护及运行调节由合同双方共同负责。维修责任与更新改造需明确分工，并遵循合同约定的管护责任。热量结算依据供热参数进行，确保符合节能标准。遇到紧急情况需及时应急处置，供热单位应根据调度要求调整运行工况，确保温度调整合理及消除安全隐患。”  "
45,,补偿贸易供电合同,"合同标的：“本合同标的包括供电服务及相关电力工程内容，涉及电力输送、功率提供、电度表等计量仪表的安装与使用，以及变电站、线路、设备等的维护和运行，确保电力系统的正常运行，同时保障供电质量、供电条件和电压的稳定性。”

合同主体：“本合同由电力公司作为供电方与用电方（用户）共同签订，双方分别负责供电服务的提供和使用。合同执行涉及的电力系统和变电站位于澳门及珠海地区。”

合同价款与支付：“电费及相关费用以价目表为依据，并以港元结算。用户需按月支付电费，支持分月支付方式，账单及费用明细由供电方提供。支付金额可包含预付款，无息偿还。费用结算方式包括拨款或其他协议约定的方式。”

合同交易条款：“供电方负责供电及相关设备的维护、检修与运行，确保计量仪表的准确度，并定期进行校核、抄读与校验。如遇停电、电压异常或系统故障，供电方需及时处理并恢复供电。合同期限届满可续订，修改条款需双方协商一致。供电条件的变更或供电运行收费标准的调整，需提前通知，并遵守相关供电合同约定。”"
48,,供用水合同,"合同标的：“本合同的标的为供水服务，具体包括为用水人提供符合水质和水压标准的水源，并通过供水管网及附属设施向用水区域输送水量。计费水表用于记录用水量，其注册号作为唯一标识。”  

合同主体：“本合同的主体为供水人和用水人。供电部门、物价部门、水务行政部门及质检管理部门可能作为相关监管或协调方参与合同履行的监督过程中。”  

合同价款与支付：“用水人需按照水价标准支付水费，并在周期抄验后根据实际月用水量进行结算。若出现调价或超计划用水，用水人需支付相应的加价水费。逾期未交水费的，将收取滞纳金。水费估算需基于最高月用水量，具体结算周期及交水费方式以合同约定为准。”  

合同交易条款：“供水人与用水人应明确产权分界点，计费水表作为计量依据，并由供水人负责水表的抄验、换表手续及水表检定。供水设施的维护管理、修理及损坏抢修由供水人负责，用水人需保障内部消防设施及附属设施的正常使用。超计划用水需支付加价水费，并鼓励节约用水。合同涉及的四至范围及水表口径、底度流量等均需在合同中明确。任何公告、通知送达或合同变更需遵循约定程序，确保双方知晓并认可。”  "
52,,fob合同,"合同标的：“本合同项下的商品需符合原产国的相关规定，由指定制造商生产，并以木箱或纸箱进行包装。运输方式可选择海运或空运，商品需附带操作说明、技术手册，明确质量、性能、规格等要求，并标明数量及重量。”

合同主体：“本合同的主体包括买方、卖方以及制造方，必要时还涉及供货商、商检局、保险公司及运输公司。船主负责运输事宜，银行提供金融支持，仲裁委员会为合同争议提供仲裁服务。”

合同价款与支付：“合同的价款以总额为基础，分批次进行支付，具体金额以发票和汇票为准。采用信用证、电汇或航空汇款等方式支付，信用证需为不可撤销，由开证行开具。付款需注明合同号，并支付相关费用作为对价。”

合同交易条款：“货物需按合同条款约定装运，明确装货港和目的港，运输过程中需办理保险，并提供提单或空运单。包装需标明唛头，船名与运输安排需提前通知买方。货物到达后需及时清关，若滞期产生滞期费。合同规定质保期，买方如发现问题可根据检验结果提出索赔，以降低风险。”"
