文件ID,模版名称,关键词提取结果,关键词提取结果,关键词提取结果,关键词提取结果,关键词串联结果,关键词串联结果,关键词串联结果,关键词串联结果,合同类型,合同类型,上传时间,字数,篇幅,标准度得分,简短,详细
文件ID,模版名称,主体,标的,价款与支付,交易,主体,标的,价款与支付,交易,一级分类,二级分类,上传时间,字数,篇幅,标准度得分,简短,详细
474139184ac7464197cc4ac22b8ec838,安徽省蚕茧养殖收购合同_919324666227593216,收购方|养殖方|蚕茧企业|农户,蚕茧|春茧|中秋茧|晚秋茧|蚕种,市场价|保护价|上车率|茧层率|现金结算,技术服务|技术指导|消毒防病|灭蚕蝇|防茧病|通风排湿|适时采茧|化蛹|送货|自提|交提货时间|货款结算|赔偿|订单资格|书面形式,合同的主体包括收购方、养殖方、蚕茧企业以及农户，明确了各方在蚕茧交易中的角色和责任。,本合同涉及的标的物主要包括蚕茧、春茧、中秋茧、晚秋茧以及蚕种等，涵盖了蚕茧养殖的多个阶段和品种。,合同价款与支付条款涉及市场价、保护价的确定，上车率和茧层率的计算标准，以及现金结算等支付方式，确保交易公平透明。,合同交易条款包括技术服务、技术指导、消毒防病、灭蚕蝇、防茧病、通风排湿、适时采茧、化蛹等养殖技术细节，以及送货、自提、交提货时间、货款结算、赔偿、订单资格和书面形式等交易流程和规定，确保合同执行的规范性和可操作性。,买卖合同,农副产品收购合同,,1305,,105,需要一份安徽省蚕茧养殖收购合同模板，用于规范蚕茧养殖方与收购方的权利义务。,请起草一份安徽省蚕茧养殖收购合同，明确养殖方与收购方的责任和义务。合同需包括不同季节蚕种养殖数量、蚕茧质量标准（如全化蛹、上车率、茧层含水率）、收购价格机制（随行就市或保护价）、技术指导与支持、交货时间地点、货款结算方式、违约责任及争议解决条款。要求合同条款详尽，确保双方权益平衡，并符合《合同法》相关规定。
19321f042c1747888195555e44b3a914,安徽省电梯维保合同_919324133181886464,使用单位|维保单位|电梯管理员|特种设备,电梯维保|救援服务|保养项目|零部件,维保费|支付批次|现金支付|支票支付|账户汇款,维保计划|紧急救援|保养时间|安全防护|故障分析|救援演练|维保记录|停梯措施|作业人员|安全监察|技术档案|保养频次|驻场服务|检测内容|钥匙管理|困人故障|定期检验,合同主体包括电梯使用单位、专业的维保单位、指定的电梯管理员以及涉及的特种设备安全管理机构。,本合同涉及的标的包括电梯维保服务、紧急救援服务、日常保养项目以及相关零部件的更换与维护。,合同价款涵盖维保费用，支付方式分为多个批次，可选择现金支付、支票支付或通过指定账户汇款完成。,交易条款包括制定维保计划、提供紧急救援服务、明确保养时间、落实安全防护措施、进行故障分析、组织救援演练、记录维保情况、实施停梯措施、配备专业作业人员、接受安全监察、建立技术档案、规定保养频次、提供驻场服务、明确检测内容、规范钥匙管理、处理困人故障以及配合定期检验等。,承揽合同,维修合同,,4156,,125,请帮我起草一份安徽省电梯维保服务合同模板,需要一份电梯维保合同模板，涵盖清包、半包、全包三种服务方式，明确维保期限、费用结算周期及支付方式。要求包含甲乙双方权利义务，如甲方需保障电梯基础条件并配合维保，乙方需提供24小时救援服务及定期维保计划。需约定故障响应时间、安全责任划分、违约责任条款，并符合安徽省特种设备安全法规要求。
9027d6eadc664e749c9b81c54bc11416,安徽省电商平台服务合同_919325804771414016,电子商务平台|平台内经营者|法人|非法人组织|自然人,平台使用|技术服务|资质资信|保证金,佣金|技术服务费|其他费用|人民币|固定金额|浮动费率|实时结算|结算期|指定账户|代为收款|直接收款|置换方式|补足保证金|退还保证金|利息计算,服务开通|账号保管|资质提交|信息变更|服务期限|费用结算|保证金设立|保证金管理|赔付通知|补足通知|信用评价|信息公示|商品披露|交易规则|知识产权|网络安全|行政许可|售后服务,合同主体涉及电子商务平台、平台内经营者、法人、非法人组织及自然人，界定了参与合同的各方身份及其权利义务。,本合同涉及的标的包括平台使用、技术服务、资质资信以及保证金等相关内容，明确了双方在合作过程中的具体服务范围和责任。,合同价款与支付条款涵盖了佣金、技术服务费及其他费用，约定了人民币支付方式、固定金额或浮动费率的选择，以及实时结算或结算期的安排，同时明确了指定账户、代为收款或直接收款的具体操作，并涉及置换方式、补足或退还保证金及利息计算等细节。,合同交易条款包括服务开通、账号保管、资质提交及信息变更等基础服务内容，约定了服务期限、费用结算及保证金设立与管理，同时规范了赔付通知、补足通知流程，明确了信用评价、信息公示及商品披露的要求，并涵盖了交易规则、知识产权、网络安全、行政许可及售后服务等关键条款。,技术合同,技术服务合同,,6925,,115,需要一份安徽省电商平台经营者与平台内经营者的服务合同模板,请起草一份安徽省电商平台服务合同，明确平台经营者（甲方）与入驻商家（乙方）的服务内容，包含资质审核、账号管理、费用结算方式（佣金、技术服务费）、消费者保证金条款、双方权利义务、违约责任及争议解决机制，要求符合电子商务法，保障消费者权益并规范平台运营流程。
b35d667c79f24ee08483c6b437477efb,城市供水特许经营协议_919323671741337600,政府授权|供水企业|金融机构|施工单位|设计单位,供水工程|特许经营权|供水服务|水厂|管网,工程造价|建设利息|水费收入|履约保函|维护保函,设计标准|施工图|建设期|运营期|维护方案|水质检测|水压标准|供水能力|应急预案|原水供应|水价调整|经营计划|设施维护|工程验收|性能测试|融资交割|土地使用,合同签署方包括政府授权机构、具备资质的供水企业、提供融资支持的金融机构，以及负责工程实施的施工单位与设计单位。,本合同涉及供水工程的特许经营权转让，包括水厂及配套管网的建设与运营，旨在为指定区域提供持续稳定的供水服务。,合同价款涵盖工程造价、建设期利息等费用，支付来源主要为水费收入，并需提供履约保函和维护保函作为担保。,条款明确设计标准、施工图审核流程、建设期与运营期权责划分，要求制定维护方案、定期水质检测、保障水压标准与供水能力，包含应急预案、原水供应保障、水价调整机制、年度经营计划、设施维护标准、工程验收程序、性能测试指标、融资交割条件及土地使用权限等内容。,特许经营合同,市政公用事业特许经营协议,,19633,,125,我需要一份城市供水特许经营协议模板，用于政府与企业合作的城市供水项目。,请起草一份城市供水特许经营协议，需明确特许经营权范围、期限及甲乙双方权利义务。内容需包含项目设计建设标准、供水服务规范、水价调整机制、履约保函要求、维护责任划分、不可抗力处理、违约赔偿条款、争议解决方式及特许期满后的资产移交流程，并附相关附件模板。
9ef2e4ce0e9b4e3795ba80dfc985070a,城市供用热力合同_919324014684409856,供热人|用热人,用热地点|用热面积|用热量|供热期限|供热质量,热费标准|政府批准|价格调整|全额支付|按月结算,监督检查|用热范围|系统验收|计量仪表|安全管理|中断供热|抢修通知|恢复供热|临时检修|违法用热|不可抗力|热费复核|用热申请|变更手续|设施维护|产权分界|维护管理,合同主体包括供热人和用热人，双方分别承担供热服务和支付热费的义务与权利。,本合同标的涉及用热地点、用热面积、用热量、供热期限及供热质量等关键要素，明确供热服务的具体范围和标准。,合同价款与支付条款涵盖热费标准、政府批准程序、价格调整机制、全额支付要求及按月结算方式，确保费用透明合理。,合同交易条款包括监督检查、用热范围、系统验收、计量仪表管理、安全管理、中断供热情形、抢修通知流程、恢复供热条件、临时检修安排、违法用热处理、不可抗力免责、热费复核机制、用热申请程序、变更手续办理、设施维护责任、产权分界划分及维护管理义务，全面规范双方履约行为。,供用电、水、气、热力合同,供用热力合同,,2099,,113,我需要一份城市供热合同模板，用于供热公司和个人用户之间的供热服务协议。,请起草一份城市供用热力合同，需包含用热地点面积、供热期限与质量标准、政府定价的热费结算方式、设施产权分界维护责任。明确供热人监督用热、中断供热的条件及通知义务，用热人缴费义务和设施维护责任。需约定违约金比例、施工用热赔偿标准，合同期限、变更条款及争议解决方式（仲裁/诉讼），特别说明装修/停电等非供热人责任的免责情形。
98ef5748522a4c4386dd9fd749b7411d,城市供用气合同_919324362660646912,供气人|用气人,用气地址|用气种类|用气性质|用气数量|供气方式|供气质量|气压标准,燃气价格|计量器具|银行交费|供应站交费|滞纳金|周期检定,安全检查|超量用气|中断供气|计划检修|临时检修|依法限气|违法用气|不可抗力|抢修通知|设施维护|产权分界|计量检定|用气设施|安全用气|燃气计量|交费方式|用气范围,本合同主体为供气人与用气人，双方需按照合同约定履行各自的权利和义务。,本合同标的涉及用气地址、用气种类、用气性质及用气数量的约定，同时明确了供气方式、供气质量及气压标准等具体要求。,合同价款与支付条款包括燃气价格、计量器具的使用、银行交费或供应站交费方式，以及滞纳金和周期检定的相关规定。,合同交易条款涵盖了安全检查、超量用气、中断供气、计划检修、临时检修、依法限气、违法用气、不可抗力、抢修通知、设施维护、产权分界、计量检定、用气设施、安全用气、燃气计量、交费方式及用气范围等内容，确保交易过程的安全与合规。,供用电、水、气、热力合同,供用气合同,,2037,,107,我需要一份城市燃气供应合同模板，明确供气方和用气方的权利与义务，包括用气量、价格、供气方式等基本条款。,请起草一份城市供用气合同，需包含用气地址、燃气种类、年/月/日用气量、供气方式（管道或瓶装等）、燃气质量标准、费用结算方式（银行或现场支付）、设施维护责任划分、违约责任（违约金比例及赔偿条款）、争议解决方式（仲裁或诉讼）、合同有效期及变更条款，并符合《合同法》等法规要求，同时明确供气中断情形及通知义务。
edeb9444bda24fc1bdee98fe37e8e260,安徽省茶叶买卖合同_919325133552750592,出卖人|买受人,茶叶|等级标准|质量要求|内在质量|外观质量,结算方式|违约金|赔偿损失,交货时间|提货时间|交货地点|提货地点|验收方式|书面异议|补足换货|退货拒收|封存样品|包装设计|不褪色|无污染|光泽整洁|运费承担|自提货物,本合同的主体包括出卖人和买受人，双方需明确各自的权利义务及合同履行责任。,本合同涉及的标的物为茶叶，需明确约定茶叶的等级标准和质量要求，包括内在质量和外观质量的具体指标。,合同价款与支付条款需明确结算方式，并约定违约金和赔偿损失的具体情形及计算方法。,合同交易条款涵盖交货时间、提货时间、交货地点、提货地点、验收方式、书面异议处理、补足换货、退货拒收、封存样品、包装设计要求（如不褪色、无污染、光泽整洁）、运费承担方式以及自提货物的相关约定。,买卖合同,农产品买卖合同,,723,,105,我需要一份安徽省茶叶买卖合同范本，用于茶叶买卖交易。,请帮我起草一份安徽省茶叶茶叶买卖合同，合同需包含买卖双方信息、茶叶质量要求（符合国家标准和封存样本）、交货方式（可选送货/自提/其他）、验收流程（抽样验收及异议期）、结算方式、违约责任（延迟违约金、质量问题处理）、争议解决条款（仲裁或诉讼），并注明其他约定事项和合同生效条件。
1bf81f4e9ab444b2a19c0c1f7348e2bc,安徽省电信业服务协议_919324852739903488,个人用户|单位用户|受托人|经办人|第三方服务商,电信服务|终端设备|号码资源|网络覆盖|漫游协议,预付费|后付费|违约金|银行托收|代扣|现金退还|资费方案|交费期限|欠费停机|费用查询,入网登记|身份信息|终端维保|服务承诺|业务办理|投诉受理|增值业务|信息变更|过户手续|销户手续|余额转移|密码管理|流量封顶|违规使用|解绑应用|通信保密|服务暂停|号码回收,合同主体涵盖个人用户、单位用户及其受托人或经办人，同时涉及与第三方服务商的合作条款，明确各方权责。,本合同涉及的电信服务包括终端设备供应、号码资源分配、网络覆盖保障及漫游协议支持，确保用户获得全面的通信服务。,合同价款与支付方式包含预付费、后付费两种模式，涉及违约金处理、银行托收、代扣服务及现金退还机制，并规定了资费方案、交费期限、欠费停机规则及费用查询途径。,合同交易条款详细规定了入网登记流程、身份信息核验、终端维保责任、服务承诺标准、业务办理及投诉受理程序，同时涵盖增值业务管理、信息变更与过户手续、销户流程及余额转移规则，并明确了密码管理、流量封顶限制、违规使用处理、解绑应用操作、通信保密义务、服务暂停条件及号码回收政策。,服务合同,电信服务合同,,4837,,115,我需要一份安徽省电信业服务协议模板，用于规范用户与电信公司的权利义务。,请起草一份电信服务协议，需涵盖用户入网身份验证、资费方案调整规则、费用支付方式及违约金计算、隐私信息保护条款、号码过户及销户流程、第三方业务解绑责任划分等内容。要求明确双方违约责任、通信服务质量标准、用户欠费停机处理措施，并确保符合国家电信法规及个人信息保护规定。
a99f525cb5da4f809046479481679623,安徽省居民供用电合同_919325133850546176,供电企业|居民用电户,用电地址|用电容量|用电性质|供电方式|计量装置,电费|政府性附加费用|现金|银行代扣|自助交费|充值卡|预付电费,连续供电|停止供电|抄表周期|抄表例日|电费结算|验表费|电能表检验|计量检定|差额电量|退补电费|电力设施|运行维护|剩余电流保护器|用电安全|变更手续|过户|迁移地址|移动表位,本合同的主体为供电企业和居民用电户，双方在合同中明确了各自的权利和义务。,本合同涉及的用电地址、用电容量、用电性质、供电方式以及计量装置等相关内容，明确了供电的基本条件和要求。,合同价款包括电费和政府性附加费用，支付方式可选择现金、银行代扣、自助交费、充值卡或预付电费等多种形式。,合同交易条款涵盖了连续供电、停止供电的条件、抄表周期和抄表例日、电费结算方式、验表费和电能表检验、差额电量和退补电费、电力设施的运行维护、剩余电流保护器的使用、用电安全要求、变更手续（如过户、迁移地址、移动表位）等内容。,供用电合同,居民供用电合同,,2151,,125,我需要一份安徽省居民供用电合同模板，用于明确供电企业和居民用电户的权利义务。,请起草一份居民供用电合同，需包含用电地址、容量、性质，供电方式（220伏或380伏），计量装置类型（单相或三相智能电表），电价选择（普通或分时电价），抄表结算周期，电费缴纳方式（现金、银行代扣等），电力设施维护责任分界点，用电安全要求（如安装剩余电流保护器），合同变更与解除条件，供电人及用电人的违约责任（如欠费违约金、供电质量赔偿），争议解决方式（仲裁或诉讼）等内容，确保条款符合《电力法》等相关法规。
