日期,序号,模版名称,模版字数,模版关键词提取：主体信息,模版关键词提取：标的,模版关键词提取：价款与支付信息,模版关键词提取：交易,关键词串联：主体信息,关键词串联：标的,关键词串联：价款与支付信息,关键词串联：交易,模版标准度打分,合同类型,合同类型-一级,合同类型-二级,备注
20250331,1,1_玉米中心批发市场玉米交货储存合同,2559,交易商|仓库|批发市场|货主|质检机构,玉米|交货|储存|倒垛|缝口|补眼|整包|挑选|更换|包装|筛选|晾晒|熏蒸,元/吨|元/件|费用|支付|标准|仓储费|熏蒸费|损耗|扣减|地磅|计量,入库|验收|重量|质量|包装|检验|水分|容重|杂质|霉变|异味|活虫|发热|缝口|针数|货位|标识|仓单|注册|提货|地磅|损耗率|熏蒸|通知|处理|赔偿|保险|短缺|补款|协商,本合同涉及的主体包括交易商、仓库、批发市场、货主及质检机构。交易商负责玉米的买卖交易，仓库提供玉米的储存及相关服务，批发市场作为交易平台，货主为玉米的所有权人，质检机构负责对玉米的质量进行检验。,本合同标的为玉米的仓储管理服务，包括但不限于玉米的入库、储存、倒垛、缝口、补眼、整包、挑选、更换包装、筛选、晾晒及熏蒸等作业内容，确保玉米在储存期间的质量安全。,合同价款以元/吨或元/件为计价单位，具体费用包括仓储费、熏蒸费、地磅计量费等。支付方式按合同约定执行，损耗部分按标准扣减，货主需按时支付相关费用。,玉米入库前需进行验收，包括重量、质量、包装等检验，重点关注水分、容重、杂质、霉变、异味、活虫、发热等指标。包装缝口针数需符合标准，货位标识清晰。仓单注册后，货主可凭单提货，地磅计量损耗率按约定执行。熏蒸作业需提前通知，发现问题及时处理，短缺或质量问题按协商结果赔偿或补款，必要时可购买保险以降低风险。,105,仓储合同,仓储合同,无,
20250331,2,2_铁矿石仓单服务经纪合同(参考文本，会员-服务商),3267,期货公司|服务商|交易所|法人客户|特殊法人,铁矿石|仓单|置换仓单|法人客户|交割需求,手续费|资金利息|货款差额|资金划转|交存资金,指令下达|资金充足|指令审核|指令撤回|指令修改|交易结果|异议处理|错误执行|风险控制|终止合同|账户清算|免责条款|争议解决|合同变更|合同终止|账户查询|原始凭证|业务规则|交易所规则|资金管理|仓单交付|仓单转让|服务权限|交易编码|现货情况,本合同涉及的主体包括期货公司、服务商、交易所及法人客户（含特殊法人）。各方需按照业务规则履行权利义务，确保交易合规,合同标的：“本合同标的为铁矿石及相关仓单业务，包括置换仓单服务。主要面向具有交割需求的法人客户，提供规范的仓单交付与转让服务。”,合同价款涉及手续费、资金利息及货款差额等费用。资金划转需确保交存资金充足，并按约定方式结算，避免资金管理风险。,交易条款涵盖指令下达、审核、修改及撤回等流程。交易结果以交易所规则为准，若出现错误执行或异议，按争议解决条款处理。风险控制措施包括终止合同、账户清算及免责条款。合同变更或终止需书面确认，并保留原始凭证备查,115,委托行纪中介合同--行纪合同,委托行纪中介合同,行纪合同,
20250331,3,3_铁矿石仓单转让协议(参考文本),1006,客户|服务商|期货公司|会员|四方,铁矿石|仓单|完税仓单|保税仓单|矿种|质量|品牌|地点|仓库|数量,货款|结算价|升贴水|差额|对冲|费用|手续费|入金|万元|支付,转让|置换|申请|提交|确认|流程|发票|增值税|专用|普通|开具|生效|签字|盖章|传真|电子仓单|交割|最后交易日|交易日|结算|委托|规则|管理办法,本合同涉及四方主体，包括客户、服务商、期货公司及会员单位。各方应按照约定履行各自权利义务，共同完成合同项下的交易事项。,本合同标的物为铁矿石，包括完税仓单和保税仓单两种形式。标的物需明确矿种、质量、品牌等具体规格要求，并约定具体交割地点、仓库及数量等要素,合同价款以结算价为基础，考虑升贴水等因素确定最终货款金额。支付方式包括万元为单位的入金支付，涉及差额对冲、手续费等费用结算。双方应按时足额完成款项支付,交易流程包括仓单转让、置换申请提交与确认等环节。涉及增值税专用发票或普通发票的开具要求。合同自签字盖章后生效，可通过传真或电子仓单形式确认。交易需遵守最后交易日、结算日等时间节点，按照委托规则及相关管理办法执行交割程序,110,买卖合同--仓储合同,买卖合同,仓储合同,协议
20250331,4,4_仓储合同(样式八),6265,寄存人|保管人|存货人|仓单持有人|委托代理人,货物|仓储物|品种|规格|数量|质量|包装|损耗,保管费|转仓费|装卸费|养护费|租金|预付|尾款|转账|账号|违约金,验收标准|入库手续|出库手续|保管期限|储存条件|检查权|处置权|仓单签发|样品提取|危险物品|易腐物品|技术资料|通知义务|催告义务|提存权|索赔期|运输代办|包装要求|定期检查|紧急处理|退仓责任|逾期提取|提前提取|保管不善|实际损失|内部授权|保密义务|不可抗力|书面通知|争议解决,本合同主体包括寄存人（存货人）及其委托代理人，保管人（仓库经营方）以及仓单持有人等权利义务相关方。,本合同标的为货物仓储服务，具体包括仓储物的品种、规格、数量、质量要求及包装标准，并明确约定货物在保管期间的合理损耗范围。,合同价款包含保管费、转仓费、装卸费、养护费及仓库租金等费用，支付方式为预付部分款项，尾款通过指定账号转账结算，逾期付款需支付违约金,交易条款涵盖货物验收标准、出入库手续办理、保管期限约定、特殊储存条件要求（如危险物品、易腐物品等）、保管方检查权与处置权、仓单签发程序、样品提取规则、技术资料保管要求、各方通知与催告义务、提存权行使条件、索赔期限约定、运输代办服务、包装特殊要求、定期检查制度、紧急处理程序、退仓责任划分、逾期/提前提取处理、保管不善赔偿标准（以实际损失为限）、内部授权要求、保密义务、不可抗力处理、书面通知要求及争议解决机制等。,95,仓储合同,仓储合同,无,
20250331,5,5_供气合同,4328,燃气|地址|种类|性质|数量|调峰|用具|贮气|气站,燃气|地址|种类|性质|数量|调峰|用具|贮气|气站,价格|计量|气费|结算|银行|交费|滞纳|调价|标准|器具,管道|瓶组|瓶装|气质|压力|检修|保养|维修|安全|标志|检查|监督|维护|产权|分界|设施|器具|钢瓶|残液|改装|接通|变更|转供|加热|倒灌|标记|投诉|堆放|明火|报警,本合同主体为供气方（具有合法经营资质的燃气供应企业）与用气方（包括企业或个人用户）。供气方需具备法定经营许可，可通过委托或代理方式履行合同义务；用气方需提供真实有效的身份及用气资质证明，双方均应按约定履行权利义务,本合同标的为燃气供应服务，具体包括管道燃气、瓶组燃气及瓶装燃气等多种供气种类，涉及民用、商用等不同用气性质。供气数量以实际计量为准，包含调峰供气服务。供气范围涵盖用气方指定地址，包括燃气用具安装及贮气设施（如气站）的配套服务,燃气价格按照政府指导价或双方协商标准执行，以实际计量器具记录数据为结算依据。用气方应按时通过银行转账等方式支付气费，逾期需缴纳滞纳金。遇政策性调价时，按新标准执行。结算周期、交费方式及计量器具校验规则均在合同中明确约定,供气方式包括管道输送、瓶组或瓶装供应，气质压力需符合国家标准。供气方负责设施检修、保养及维修，用气方不得擅自改装管道或钢瓶。产权分界点以入户总阀为界，分界点外设施由供气方维护。严禁倒灌、转供、明火堆放等危险行为，需设置安全标志和报警装置。用气方应配合安全检查，投诉建议可通过指定渠道反馈。”,103,供气合同,供气合同,无,
20250331,6,6_北京市非居民瓶装液化石油气供用合同（示范文本BF—2020—0502）,2356,用户|供气企业|餐饮|采暖|工业|液化气,液化气|气瓶|气相瓶|液相瓶|报警器|切断阀|防爆风机|用气设备,押金|预付款|赊销|即时付款|购气款|结算|单价|公斤|充装量,安全检查|配送|隐患整改|技术服务|专人检查|安全培训|购气凭证|气瓶编号|信息化管理|书面告知|停止供气|解除合同|气瓶押金|用气场所|供气系统,本合同主体为用户与供气企业，用户包括餐饮、采暖、工业等领域的液化气使用者，供气企业负责液化气的供应及相关服务。,本合同标的为液化气及相关设备，包括气瓶（气相瓶、液相瓶）、报警器、切断阀、防爆风机等用气设备，确保用户安全使用液化气。,合同价款包括购气款、押金等费用，支付方式可为预付款、赊销或即时付款。结算按单价（元/公斤）及实际充装量计算，用户需按时支付相关款项。,供气企业需提供安全检查、配送、隐患整改、技术服务（如安全培训、专人检查）等服务。用户需配合信息化管理，提供购气凭证及气瓶编号。若发现用气场所或供气系统存在安全隐患，供气企业有权书面告知并要求整改，严重时可停止供气或解除合同。气瓶押金在合同终止时按约定退还。,125,供给能源合同--供气合同,供给能源合同,供气合同,
20250331,7,7_上海市低压供用电合同(100KW及以上),4367,电力公司|电力用户|供电企业|用电方|供方|用方|第三方|承租方|受让方,用电地址|用电类别|供电方式|用电容量|保安措施|计量装置|电价类别|电费结算,电费|违约金|滞纳金|赔偿金|基本电费|电度电费|分时电价|功率因数|最大需量|银行划拨|缴费通知|欠费|划拨批次|支付方式|结算周期,供电质量|连续供电|停电通知|功率因数|谐波负荷|冲击负荷|波动负荷|非对称负荷|计量装置|电度表|电流互感器|定比定量|强制检定|故障处理|校验申请|产权分界|运行维护|操作权限|紧急情况|用电检查|电工许可|自备发电|增容申请|变更用电|转供限制|地址变更|开户变更|税务变更|营业执照|代码变更,本合同主体包括电力公司（供电企业或供方）与电力用户（用电方或用方），涉及第三方（如承租方、受让方等）时需另行约定权利义务关系。,本合同标的为电力供应服务，具体包括用电地址、用电类别（如工业用电、商业用电等）、供电方式（如高压供电、低压供电等）、用电容量（以千瓦或千伏安为单位）、保安措施（如备用电源、应急措施等）、计量装置（如电度表、电流互感器等）、电价类别（如分时电价、基本电价等）以及电费结算方式（如银行划拨、缴费通知等）。,合同价款主要包括电费（含基本电费、电度电费）、违约金（如欠费滞纳金）、赔偿金（如违约赔偿）等。支付方式为银行划拨，结算周期按约定执行，缴费通知由供方提供，欠费将按批次划扣，并适用分时电价、功率因数调整等计价规则。,供方应确保供电质量，连续供电，特殊情况需提前通知停电。用电方需合规使用电力，避免谐波、冲击、波动等负荷影响电网。计量装置（如电度表）需强制检定，产权分界点明确，运行维护责任划分清晰。用电方变更用电（如增容、地址变更）需申请，不得擅自转供。紧急情况下，供方有权检查用电设施，用电方需配合并提供电工许可证明。,120,供给能源合同--供电合同,供给能源合同,供电合同,
20250331,8,8_广州市城市(非居民)供水用水合同（示范文本SF—2015—0502）,2884,供水人|用水人|非居民|特种用水|物业服务,用水性质|用水地址|客户编号|水表口径|水表位置,水费结算|银行代划|自行缴交|缴费通知|违约金|暂停供水|多退少补|分摊收取|公共用水|补缴水费,供水质量|不间断供水|水质标准|水压标准|抄验水表|更换水表|临时停水|降低水压|复核水费|保护水表|迁移水表|改动水表|申请变更|暂停用水|终止用水|恢复用水|复装材料|冲洗耗水|服务费用,本合同主体为供水人与用水人，其中用水人包括非居民用户、特种用水单位及物业服务企业，各方应按照合同约定履行权利义务。,本合同标的为供水服务，具体包括用水性质为非居民或特种用水，用水地址为指定物业位置，客户编号为唯一识别码，水表口径按实际需求配置，水表位置安装于物业指定区域。,水费结算采用银行代划或自行缴交方式，用水人应按缴费通知及时缴纳。逾期将收取违约金，严重者可暂停供水。实行多退少补原则，公共用水费用由物业服务企业分摊收取。欠费用户需补缴水费方可恢复供水。,供水人应保证供水质量，提供不间断供水服务，水质和水压应符合国家标准。定期抄验水表，必要时更换水表。因检修需临时停水或降低水压应提前通知。用水人可申请复核水费，有义务保护水表，迁移或改动需经申请。用户可申请变更、暂停、终止或恢复用水，相关复装材料及冲洗耗水等服务费用按实收取。,125,供给能源合同--供水合同,供给能源合同,供水合同,
20250331,9,9_少儿终身保障保险合同,3129,健康告知|体检报告|复效申请|批单批注|缴费期限|宽限期|效力中止|效力恢复|退保手续|保险事故|死亡证明|受益权|遗产继承|仲裁诉讼|年龄申报|手续费|比例支付|多退少补|意外伤害|非本意|剧烈伤害|客观事件|解除合同|承保条件|保险费率,少儿险|终身险|保障险|教育金|婚嫁金|养老金|保险金|人寿险|祝寿金|保险费,年缴费|分期付|按份计|免缴费|补缴款|退保费|利息款|比例付|多缴费|少缴费|退保金,健康告知|体检报告|复效申请|批单批注|缴费期限|宽限期|效力中止|效力恢复|退保手续|保险事故|死亡证明|受益权|遗产继承|仲裁诉讼|年龄申报|手续费|比例支付|多退少补|意外伤害|非本意|剧烈伤害|客观事件|解除合同|承保条件|保险费率,本合同的投保人可为父母或监护人，被保险人为婴少儿、初中生、高中生或大学生等适龄人群。受益人可由投保人指定，包括继承人等。保险公司作为承保方，负责保险合同的履行和保险金的给付。,本合同涉及的保险产品包括少儿险、终身险、保障险等多种类型，涵盖教育金、婚嫁金、养老金等不同用途的保险金给付。具体包括人寿险、祝寿金等险种，投保人需按时缴纳保险费以获得相应保障。,保险费支付方式灵活，可选择年缴费或分期付，按份计费。特殊情况下可申请免缴费或补缴款。合同包含退保费、利息款等款项处理，采用比例付方式，实行多缴费退还、少缴费补足的原则，退保时按约定退还退保金。,合同要求投保人如实进行健康告知，必要时提供体检报告。包含复效申请、批单批注等特殊条款。明确缴费期限和宽限期规定，约定效力中止与恢复条件。规范退保手续办理流程，明确保险事故认定标准（需提供死亡证明等材料）。对受益权、遗产继承等权益进行约定，争议解决可通过仲裁诉讼。包含年龄申报、手续费等常规条款，实行比例支付和多退少补原则。特别约定意外伤害（非本意、剧烈伤害、客观事件）的认定标准。明确解除合同条件和承保条件，保险费率按约定执行。,109,保险合同--人寿保险合同,保险合同,人寿保险合同,
20250331,11,11_××人寿保险公司委托中国××银行××市分行代扣保险费合同书（参考文本）,1933,人寿保险|营业部|营销部|银行分行|储蓄所,投保人|身份证号|储蓄账号|开户行|保险费|保单号,人民币|大写|小写|转账|代扣|活期|保费|首期|续期|账户,签字|生效|变更|查询|结账|存款|余额|扣款|转账|通知|异议|备案|密码|户名|投保|支付|责任|期限|条款|申请|解除|核对|收讫|通兑|储蓄,本合同主体包括人寿保险公司及其下属营业部、营销部，以及与保险公司合作的银行分行、储蓄所等机构。,本合同标的为投保人（身份证号：XXX）通过其储蓄账号（开户行：XXX）缴纳保险费，并获取对应保单号的人寿保险产品。,合同价款以人民币计价，金额需同时注明大写和小写。支付方式包括转账、代扣等，保费分为首期和续期，款项存入投保人指定的活期账户。,本合同自双方签字后生效，投保人可申请变更、查询或解除合同。保费支付通过扣款或转账完成，投保人需核对账户余额并确认收讫。银行提供通兑服务，投保人需妥善保管密码及户名信息。如有异议，需及时提出并备案。合同条款明确双方责任、期限及权利义务，投保人需遵守相关储蓄及支付规定,93,保险合同--保险代理合同,保险合同,保险代理合同,
